Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Content_Warning_Category,Diversity_Category,Genre_Category,Genre_Tropes,Genre_Themes,Genre_Format,Genre_Subtags
The Last Lifeboat,Hazel Gaynor,BookTok,Linda,25-Apr,Heart-tugging WWII survival tale resurging,Viral Momentum,"Historical Fiction, Maritime",No,William Morrow,2023,400,Not Yet Considered,,"War, loss",Two women try to protect children across the Atlantic,"Death / Grief, War / Political Oppression",,Historical Fiction,,,,
The Second Life of Mirielle West,Amanda Skenandore,BookTok,Linda,25-Apr,Lesser-known historical gem trending,Viral Momentum,"Historical Fiction, Medical",No,Kensington,2021,368,Not Yet Considered,,"Leprosy, isolation",A socialite is exiled to a leper colony in 1920s Louisiana,Uncategorized,,Historical Fiction,,,,
The Widows of Champagne,Renée Ryan,BookTok,Linda,25-Apr,WWII vineyard family drama trending again,Viral Momentum,"Historical Fiction, Family Saga",No,Love Inspired,2021,352,Not Yet Considered,,"War, death",A French family hides Jewish refugees — and their legacy,"Death / Grief, War / Political Oppression",,Historical Fiction,,,,
Fifty Words for Rain,Asha Lemmie,BookTok,Linda,25-Apr,Literary tearjerker resurges,Viral Momentum,"Historical Fiction, Coming of Age",No,Dutton,2020,464,Not Yet Considered,Multiracial,"Abuse, racism",A biracial girl is cast out in postwar Japan,"Abuse (Emotional/Physical), Racism / Discrimination",Ethnic & Cultural Identity,Historical Fiction,,,,
Eliza Starts a Rumor,Jane L. Rosen,BookTok,Linda,25-Apr,Suburban drama + redemption arc,Viral Momentum,"Contemporary, Women’s Fiction",No,Berkley,2020,352,Not Yet Considered,,Marital issues,A rumor rocks a mom group — and changes lives,Uncategorized,,Contemporary Fiction,,,,
Florence Adler Swims Forever,Rachel Beanland,BookTok,Linda,25-Apr,Secret-keeping family drama resurging,Viral Momentum,"Historical Fiction, Jewish Fiction",No,Simon & Schuster,2020,320,Not Yet Considered,Jewish,"Grief, tragedy",A family hides a daughter’s death from her pregnant sister,Death / Grief,Ethnic & Cultural Identity,Historical Fiction,,,,
A Man Called Ove,Fredrik Backman,BookTok,Linda,25-Apr,Wholesome grump-to-softie staple,Viral Momentum,"Contemporary, Found Family",Yes,Atria,2012,337,Film,Swedish,Suicide ideation,A cranky old man is reluctantly pulled into community,"Death / Grief, Mental Health",Ethnic & Cultural Identity,Contemporary Fiction,,Found Family,,Found Family
The Secret Keeper,Kate Morton,BookTok,Linda,25-Apr,Literary suspense with a WWII twist,Viral Momentum,"Historical Fiction, Mystery",No,Atria,2012,484,Film,,"Secrets, war",A daughter uncovers her mother’s hidden past,War / Political Oppression,,Mystery / Thriller,,,,
The Light Between Oceans,M.L. Stedman,BookTok,Linda,25-Apr,Heartbreaking historical drama resurging,Viral Momentum,"Historical Fiction, Romance",No,Scribner,2012,343,Film,,Child loss,A lighthouse keeper and wife keep a baby that isn't theirs,Death / Grief,,Romance,,,,
The Authenticity Project,Clare Pooley,BookTok,Linda,25-Apr,Feel-good novel about honesty + connection,Viral Momentum,"Contemporary Fiction, Feel-Good",No,Pamela Dorman Books,2020,368,Not Yet Considered,,"Addiction, loneliness",Strangers share their truths in a green notebook,Addiction / Substance Use,,Contemporary Fiction,,,,
The Reading List,Sara Nisha Adams,BookTok,Linda,25-Apr,Still trending — multigen friendship vibe,Viral Momentum,"Contemporary Fiction, Found Family",No,Harper,2021,384,Film,South Asian,"Grief, depression",Books connect a grieving widower and lonely teen,"Death / Grief, Mental Health",Asian / South Asian,Contemporary Fiction,,Found Family,,Found Family
The Sweeney Sisters,Lian Dolan,BookTok,Linda,25-Apr,Sisterhood + literary scandal resurging,Viral Momentum,"Contemporary Fiction, Family Drama",No,William Morrow,2020,304,Not Yet Considered,,"Loss, secrets",Three sisters learn they had a secret sibling,Death / Grief,,Contemporary Fiction,,,,
The Giver of Stars,Jojo Moyes,BookTok,Linda,25-May,Depression-era horseback librarians trending again,Viral Momentum,"Historical Fiction, Women’s Fiction",No,Pamela Dorman Books,2019,400,Film,,Gender inequality,Five women form a mobile library in rural Kentucky,Uncategorized,,Historical Fiction,,,,
The Secret Life of Violet Grant,Beatriz Williams,BookTok,Linda,25-May,Dual timeline historical drama resurging,Viral Momentum,"Historical Fiction, Romance, Mystery",No,Berkley,2014,432,Not Yet Considered,,"Infidelity, sexism",A young journalist uncovers a family scandal,Uncategorized,,Romance,,,,
Mrs. Everything,Jennifer Weiner,BookTok,Linda,25-May,Big publishing staple continues trending,Viral Momentum,"Literary Fiction, Feminist",No,Atria,2019,480,Film,Jewish,"SA, abuse",Two sisters navigate decades of social change,"Abuse (Emotional/Physical), Sexual Violence / SA",Ethnic & Cultural Identity,Uncategorized,,Feminist Lit,,Feminist Lit
Murder in an Irish Village,Carlene O’Connor,BookTok,Linda,25-May,Cozy small-town mystery goes viral,Viral Momentum,"Cozy Mystery, Irish Fiction",Yes,Kensington,2016,304,Not Yet Considered,Irish,Death,A bickering sibling duo solves a local murder,Death / Grief,Ethnic & Cultural Identity,Mystery / Thriller,,,,
The Chicken Sisters,KJ Dell’Antonia,BookTok,Linda,25-May,Family drama + fried chicken feud = viral,Viral Momentum,"Contemporary Fiction, Humor",No,Berkley,2020,352,TV,,Family tension,Two sisters battle for their chicken joint on reality TV,Uncategorized,,Contemporary Fiction,,,,
The Librarian of Auschwitz,Antonio Iturbe,BookTok,Linda,25-May,Heartbreaking WWII true story resurging,Viral Momentum,"Historical Fiction, Holocaust Lit",No,Henry Holt,2017,432,Not Yet Considered,Jewish,"War, death, trauma",A young girl preserves books in a concentration camp,"Death / Grief, War / Political Oppression",Ethnic & Cultural Identity,Historical Fiction,,,,
The Bookshop on the Corner,Jenny Colgan,BookTok,Linda,25-May,Scottish romance + book van goes viral,Series Momentum,"Contemporary Romance, Bookshop Lit",Yes,Harper,2016,368,Not Yet Considered,,Mild romance,A woman restarts life by opening a bookshop in the Highlands,Uncategorized,,Romance,,,,
The Two Lives of Lydia Bird,Josie Silver,BookTok,Linda,25-May,Sad but cozy romance novel resurging,Viral Momentum,"Contemporary Romance, Magical Realism",No,Ballantine,2020,400,Not Yet Considered,,"Grief, loss",A grieving woman wakes up in a parallel life where he lived,Death / Grief,,Fantasy,,,,
Evvie Drake Starts Over,Linda Holmes,BookTok,Linda,25-May,NPR-backed feel-good romance resurges,Viral Momentum,"Contemporary Fiction, Romance",No,Ballantine,2019,304,Not Yet Considered,,"Widowhood, life transitions",A reclusive widow rents out space to a failing MLB pitcher,Death / Grief,,Romance,,,,
The Housemaid,Freida McFadden,BookTok,Linda,25-May,Thriller-lite readers dipping into BookTok buzz,Series Momentum,"Domestic Suspense, Thriller",Yes,Bookouture,2022,336,Film,,"Gaslighting, twists",A maid uncovers her employer’s deadly secrets,Abuse (Emotional/Physical),,Mystery / Thriller,,,,
The Cloisters,Katy Hays,BookTok,Linda,25-May,Dark academia lite + tarot + book club friendly,Series Momentum,"Literary Mystery, Speculative",No,Atria,2022,320,Film,,Occult imagery,An intern uncovers a sinister deck of cards at a museum,"Religious Trauma / Cults, Supernatural Horror",,Mystery / Thriller,,,,
The Summer Book,Tove Jansson,BookTok,Linda,25-May,Classic Scandinavian cozy literature resurges,Classic Revisit / Reread Trend,"Literary Fiction, Slice of Life",No,NYRB Classics,1972,184,Film,Finnish,"Aging, family",A grandmother and granddaughter wander a summer island,Uncategorized,Ethnic & Cultural Identity,Contemporary Fiction,,,,
The Secrets We Kept,Lara Prescott,BookTok,Linda,25-May,Cold War female spy story resurging,Viral Momentum,"Historical Fiction, Espionage",No,Knopf,2019,368,Film,,"Torture, propaganda",CIA women smuggle Doctor Zhivago out of Russia,Uncategorized,,Historical Fiction,,,,
A Single Thread,Tracy Chevalier,BookTok,Linda,25-May,Crafting + independence = quiet trend,Viral Momentum,"Historical Fiction, Women's Lit",No,Viking,2019,336,Not Yet Considered,,"Grief, societal pressure",A single woman finds purpose in cathedral embroidery,Death / Grief,,Historical Fiction,,,,
The Mitford Scandal,Jessica Fellowes,BookTok,Linda,25-May,Royal-adjacent cozy murder mystery resurging,Viral Momentum,"Historical Mystery, British Society",Yes,Minotaur,2020,384,Not Yet Considered,,"Classism, death",One of the famous Mitford sisters gets caught in a murder,"Classism / Poverty, Death / Grief",,Mystery / Thriller,,,,
Juliet Takes a Breath (Graphic Novel),"Gabby Rivera, Celia Moscote",BookTok,Toni,25-Jan,Queer Latinx classic re-trending in graphic form,Queer / Identity-Based Discovery,"Graphic Novel, Queer Coming of Age",No,BOOM! Studios,2019,180,Not Yet Considered,"Latina,Queer","Identity, racism",Bronx-born Juliet finds herself (and queerness) in Portland,Racism / Discrimination,"Latinx, Queer Identity",Graphic Works,,,Graphic Novel,Graphic Novel
The Memory Librarian,Janelle Monáe et al.,BookTok,Toni,25-Jan,Still trending in soft alt queer circles,Queer / Identity-Based Discovery,"Speculative Fiction, Short Stories",No,Harper Voyager,2022,336,Not Yet Considered,,Afrofuturist short stories set in Monáe’s Dirty Computer world,,Uncategorized,,Speculative Fiction,,,Anthology,Anthology
Each of Us a Desert,Mark Oshiro,BookTok,Toni,25-Jan,Queer magical realism resurging,Queer / Identity-Based Discovery,"Magical Realism, Queer SFF",No,Tor Teen,2020,416,Not Yet Considered,"Queer,Latinx","Grief, isolation",A girl wanders deserts and memory with a heavy soul,Death / Grief,"Latinx, Queer Identity",Fantasy,,,,
Boys Weekend,Mattie Lubchansky,BookTok,Toni,25-Jan,Fever dream graphic novel surging in alt queer spaces,Queer / Identity-Based Discovery,"Graphic Novel, Satire, Trans Lit",No,Pantheon,2023,208,TV,,A trans bachelorette weekend spirals into dystopia,,Uncategorized,,Graphic Works,,Satire,Graphic Novel,"Graphic Novel, Satire"
Cemetery Boys,Aiden Thomas,BookTok,Toni,25-Jan,Latinx trans romance continues trending,Viral Momentum,"YA, Paranormal, Romance",No,Swoon Reads,2020,352,Not Yet Considered,"Trans,Latinx","Death, grief",A boy summons a ghost… and falls in love with him,Death / Grief,"Gender Identity, Latinx",Romance,,,,
The Magic Fish,Trung Le Nguyen,BookTok,Toni,25-Jan,Heartbreaking queer fairytale GN still viral,Queer / Identity-Based Discovery,"Graphic Novel, Coming of Age",No,Random House,2020,256,Film,,"A Vietnamese boy navigates family, love, and fairytales",,Uncategorized,,Graphic Works,,,Graphic Novel,Graphic Novel
Gods of Want,K-Ming Chang,BookTok,Toni,25-Jan,Bizarre short fiction trending again,Viral Momentum,"Magical Realism, Queer, Speculative",No,One World,2022,224,Film,,Lyrical stories that slip between myth and queerness,,Uncategorized,,Fantasy,,,,
The Daughters of Nri,Reni K. Amayo,BookTok,Toni,25-Jan,African mythology + queer energy resurging,Queer / Identity-Based Discovery,"Fantasy, Mythic SFF",Yes,Onwe,2019,400,Not Yet Considered,Black,"Violence, war",Twin goddesses rediscover magic in precolonial Africa,"Violence, War / Political Oppression",Black / African,Fantasy,,,,
A Hundred Vicious Turns,Lee Paige O’Brien,BookTok,Toni,25-Jan,Queer dark academia fantasy gaining traction,Other / Uncategorized,"YA Fantasy, Romance, Mystery",Yes,Labyrinth Road,2023,416,Not Yet Considered,,"Magical university, mystery, and queer longing",,Uncategorized,,Fantasy,,,,
Nimona,ND Stevenson,BookTok,Toni,25-Jan,Netflix adaptation keeps this viral,Adaptation / Movie Buzz,"Graphic Novel, Sci-Fi Fantasy",No,HarperTeen,2015,272,Film,Queer,"Death, identity",A shapeshifting teen joins a villain in chaos & healing,Death / Grief,Queer Identity,Fantasy,,,Graphic Novel,Graphic Novel
Sabrina & Corina,Kali Fajardo-Anstine,BookTok,Toni,25-Jan,Latinx feminist short stories resurging,Viral Momentum,"Literary Fiction, Short Stories",No,One World,2019,224,Not Yet Considered,,"Chicana women face love, loss, and generational memory",,Death / Grief,,Uncategorized,,,Anthology,Anthology
Wash Day Diaries,Jamila Rowser & Robyn Smith,BookTok,Toni,25-Jan,Graphic novel + soft aesthetic + Black girl joy,Viral Momentum,"Graphic Novel, Slice of Life",No,Chronicle Books,2021,128,Not Yet Considered,,"Five friends bond over love, hair care, and softness",,Uncategorized,,Contemporary Fiction,,,Graphic Novel,Graphic Novel
Light from Uncommon Stars,Ryka Aoki,BookTok,Toni,25-Jan,Queer sci-fi + violin demons still trending,Queer / Identity-Based Discovery,"Sci-Fi, Queer Lit, Fantasy",No,Tor,2021,384,Not Yet Considered,,"A runaway violinist, a trans girl, and a cursed mentor",,Uncategorized,,Fantasy,,Queer Lit,,Queer Lit
The Wicked Bargain,Gabe Cole Novoa,BookTok,Toni,25-Jan,Queer Latine pirate fantasy on the rise,Queer / Identity-Based Discovery,"YA Fantasy, Queer SFF",No,Balzer + Bray,2023,336,Not Yet Considered,"Sea Magic,Deals With The Devil",A trans boy tries to undo his father’s cursed pact,,Uncategorized,Uncategorized,Fantasy,,,,
Julia (Graphic Novel),Sandra Lucario & Leela Corman,BookTok,Toni,25-Jan,New alt-feminist GN release gaining traction,New Release Buzz,"Graphic Novel, Literary Queer Fiction",No,Small Press,2025,,Not Yet Considered,,,,,,Graphic Works,,,Graphic Novel,Graphic Novel
The Prince and the Dressmaker,Jen Wang,BookTok,Toni,25-Feb,Queer GN regains momentum with cosplay creators,Queer / Identity-Based Discovery,"Graphic Novel, Historical Queer Lit",No,First Second,2018,288,Not Yet Considered,"Queer,Aapi",Gender secrecy,A prince moonlights in gowns designed by his best friend,Uncategorized,"Asian / South Asian, Queer Identity",Historical Fiction,,Queer Lit,Graphic Novel,"Graphic Novel, Queer Lit"
Blanca & Roja,Anna-Marie McLemore,BookTok,Toni,25-Feb,Latinx magical realism still thriving,Viral Momentum,"Magical Realism, Queer Fairy Tale",No,Feiwel & Friends,2018,384,Film,"Latinx,Queer","Curses, transformation",Sisters caught in a family swan curse,Supernatural Horror,"Latinx, Queer Identity",Fantasy,,,,
Funeral Girl,Emma K. Ohland,BookTok,Toni,25-Feb,Quiet YA grief book with sapphic undertones trending,Series Momentum,"YA Contemporary, Magical Realism",No,Lerner,2023,288,Not Yet Considered,,A girl who can see the dead works in her mom’s funeral home,,Death / Grief,,Fantasy,,,,
Taproot,Keezy Young,BookTok,Toni,25-Feb,Soft boy ghost romance continues glowing,Viral Momentum,"Graphic Novel, Queer Romance",No,Oni Press,2017,128,Not Yet Considered,,A gardener and a ghost fall in love between worlds,,Supernatural Horror,,Romance,,,Graphic Novel,Graphic Novel
The Lesbiana’s Guide to Catholic School,Sonora Reyes,BookTok,Toni,25-Feb,Queer Latine teen voice still resonating,Queer / Identity-Based Discovery,"YA, Contemporary, Queer Coming of Age",No,Balzer + Bray,2022,400,Not Yet Considered,"Homophobia,Religion",A closeted girl finds love and rebellion,,Uncategorized,Queer Identity,Contemporary Fiction,,,,
Pet,Akwaeke Emezi,BookTok,Toni,25-Feb,Eerie allegory keeps drawing readers in,Viral Momentum,"YA, Speculative Fiction",Yes,Make Me a World,2019,208,Film,,A creature from a painting comes to hunt a hidden monster,,Uncategorized,,Speculative Fiction,,,,
Lore Olympus (Vol. 1),Rachel Smythe,BookTok,Toni,25-Feb,Webtoon-turned-print GN remains viral,Viral Momentum,"Graphic Novel, Myth Retelling",Yes,Del Rey,2021,384,Not Yet Considered,,"Hades x Persephone reimagined in pink, ink, and ache",,Uncategorized,,Fantasy,Retelling,,Graphic Novel,"Graphic Novel, Retelling"
Canto,David M. Booher & Drew Zucker,BookTok,Toni,25-Feb,Indie fantasy GN gains queer support,Indie Author Buzz,"Graphic Novel, Fantasy",Yes,IDW,2019,160,Film,Implied Queer,"Slavery, love",A tin knight fights for a clockwork heart,Uncategorized,Queer Identity,Fantasy,,,Graphic Novel,Graphic Novel
The Inheritance of Orquídea Divina,Zoraida Córdova,BookTok,Toni,25-Feb,Dreamlike Latinx magical family saga resurging,Viral Momentum,"Magical Realism, Family Saga",No,Atria,2021,336,Not Yet Considered,,A matriarch’s death leaves behind supernatural seeds,,"Death / Grief, Supernatural Horror",,Fantasy,,,,
The Girl from the Sea,Molly Knox Ostertag,BookTok,Toni,25-Feb,Sapphic selkie summer GN resurging,Viral Momentum,"Graphic Novel, Queer Romance",No,Graphix,2021,256,Film,Outing Fears,A teen girl falls for a selkie and faces who she is,,Uncategorized,Queer Identity,Romance,,,Graphic Novel,Graphic Novel
After the Forest,Kell Woods,BookTok,Toni,25-Feb,"“Hansel & Gretel, but grown” vibes trending",Viral Momentum,"Fantasy, Fairy Tale Retelling",No,Tor,2023,400,Film,,"Gretel's past is far from over, and so are the monsters",,Uncategorized,,Fantasy,Retelling,,,Retelling
Bitter,Akwaeke Emezi,BookTok,Toni,25-Feb,"Art, protest, and magical rage resurging",Viral Momentum,"YA Fantasy, Queer Lit",Yes,Knopf,2022,256,TV,,Teens summon monsters to fight systemic injustice,,"Classism / Poverty, Violence",,Fantasy,,Queer Lit,,Queer Lit
What the Font?!,Konnosuke Saeki,BookTok,Toni,25-Feb,Alt-typography manga trending in zinecore spaces,Viral Momentum,"Manga, Typography, Slice of Life",No,Seven Seas,2020,136,Not Yet Considered,Mild Work Stress,A girl finds sentient fonts living in her office,,Uncategorized,Uncategorized,Contemporary Fiction,,,Graphic Novel,Graphic Novel
Squire,Sara Alfageeh & Nadia Shammas,BookTok,Toni,25-Feb,Queer-coded Arab fantasy GN resurging,Queer / Identity-Based Discovery,"Graphic Novel, Historical Fantasy",No,HarperAlley,2022,336,Film,,A girl disguises herself to become a squire — or a symbol,,Uncategorized,,Fantasy,,,Graphic Novel,Graphic Novel
Miss Quinces,Kat Fajardo,BookTok,Toni,25-Feb,Quinceañera GN adored by Latinx BookTok,Series Momentum,"Graphic Novel, Contemporary",No,Graphix,2022,272,Not Yet Considered,Culture Clash,A comic artist endures a summer quince… and maybe likes it,,Uncategorized,Uncategorized,Contemporary Fiction,,,Graphic Novel,Graphic Novel
Julieta and the Romeos,Maria E. Andreu,BookTok,Toni,25-Mar,Bilingual rom-com with alt tropes resurging,Viral Momentum,"YA Romance, Latinx Fiction",No,Balzer + Bray,2023,368,Not Yet Considered,Mild Crush Drama,A girl co-writes a love story while unsure who her cowriter is,,Uncategorized,Uncategorized,Romance,,,,
Man Made Monsters,Andrea L. Rogers,BookTok,Toni,25-Mar,Indigenous queer horror/folklore trending,Queer / Identity-Based Discovery,"Horror, Short Stories, Speculative",No,Levine Querido,2022,320,Film,,A Cherokee family faces monsters across generations,,Uncategorized,,Horror,,,Anthology,Anthology
The Witch King,H.E. Edgmon,BookTok,Toni,25-Mar,Queer fae chaos & trans rep re-trending,Queer / Identity-Based Discovery,"YA Fantasy, Queer SFF",Yes,Inkyard Press,2021,384,Film,,A runaway witch prince is dragged back to fae courts,,Supernatural Horror,,Fantasy,,,,
Frizzy,"Claribel A. Ortega, Rose Bousamra",BookTok,Toni,25-Mar,Afro-Latinx hair identity GN still rising,Queer / Identity-Based Discovery,"Graphic Novel, Coming of Age",No,First Second,2022,224,Film,Cultural Tension,A tween pushes back on salon visits and embraces her curls,,Sexual Violence / SA,Uncategorized,Graphic Works,,,Graphic Novel,Graphic Novel
Everyone on This Train Is a Suspect,Benjamin Stevenson,BookTok,Toni,25-Mar,Alt comedy-mystery + GN meme trend,Viral Momentum,"Literary Mystery, Meta Humor",Yes,Mariner,2024,352,Not Yet Considered,,,A writer on a literary retreat gets caught in a real murder,,,Mystery / Thriller,,,,
The Deep & Dark Blue,Niki Smith,BookTok,Toni,25-Mar,Trans twins in graphic fantasy world still trending,Viral Momentum,"Graphic Novel, Queer Fantasy",No,"Little, Brown",2020,256,Not Yet Considered,"War,Identity",Siblings hide in a magical women’s order — and one finds herself,,Uncategorized,Uncategorized,Fantasy,,,Graphic Novel,Graphic Novel
Woven in Moonlight,Isabel Ibañez,BookTok,Toni,25-Mar,Latinx-inspired fantasy with weaving magic resurging,Viral Momentum,"YA Fantasy, Revolution",Yes,Page Street,2020,384,Not Yet Considered,"Colonialism,War",A girl spies for her people using magic spun into thread,,Uncategorized,Uncategorized,Fantasy,,Political,,Political
Heathen (Vol. 1),Natasha Alterici,BookTok,Toni,25-Mar,Queer Viking warrior story resurging in alt spaces,Queer / Identity-Based Discovery,"Graphic Novel, Queer Mythology",Yes,Vault Comics,2017,120,Not Yet Considered,,A banished woman rides to slay Odin and free the Valkyries,,Uncategorized,,Fantasy,,,Graphic Novel,Graphic Novel
You & Me at the End of the World,Brianna Bourne,BookTok,Toni,25-Mar,Apocalyptic metaphor romance rising again,Viral Momentum,"YA Speculative, Queer",No,Scholastic,2021,384,TV,"Loneliness,Mental Health",Two teens wake up to find they’re alone in the world — or are they?,,Uncategorized,Neurodivergent,Speculative Fiction,,,,
Thirsty Mermaids,Kat Leyh,BookTok,Toni,25-Mar,Queer chaotic mermaid GN trending again,Queer / Identity-Based Discovery,"Graphic Novel, Queer Comedy",No,Gallery 13,2021,256,Not Yet Considered,"Alcoholism,Queerness",Mermaids turn human to get more booze and crash a seaside town,,Uncategorized,"Intersectional / Mixed, Queer Identity",Graphic Works,,,Graphic Novel,Graphic Novel
When Angels Left the Old Country,Sacha Lamb,BookTok,Toni,25-Mar,Queer Jewish angel/demon alt fantasy resurging,Queer / Identity-Based Discovery,"Queer Fantasy, Historical",No,Levine Querido,2022,400,Not Yet Considered,"Immigration,Prejudice",An angel and a demon immigrate to 1900s NYC,,Uncategorized,Uncategorized,Fantasy,,,,
Cosmoknights (Vol. 1),Hannah Templer,BookTok,Toni,25-Mar,Space gladiator lesbians = still viral,Viral Momentum,"Graphic Novel, Queer Sci-Fi",Yes,Top Shelf,2019,216,Not Yet Considered,,Girls fight for liberation in intergalactic tournaments,,Violence,,Science Fiction,,,Graphic Novel,Graphic Novel
Juliet Takes a Breath,Gabby Rivera,BookTok,Toni,25-Mar,Print novel version resurging alongside GN,Viral Momentum,"Queer Coming of Age, Latinx",No,Dial Books,2016,276,Not Yet Considered,"Racism,Queer Identity",A Bronx teen explores queerness while interning with a white feminist,,Uncategorized,"Intersectional / Mixed, Queer Identity",Uncategorized,,,,
Tasting Light,Multiple Authors,BookTok,Toni,25-Mar,Queer SFF short fiction collection trending again,Queer / Identity-Based Discovery,"YA SFF, Anthology, Queer Lit",No,Levine Querido,2022,320,Not Yet Considered,,"Disabled, neurodivergent, and queer teens star in SFF tales",,"Disability / Neurodivergence, Sexual Violence / SA",,Fantasy,,Queer Lit,Anthology,"Anthology, Queer Lit"
We Are the Ants,Shaun David Hutchinson,BookTok,Toni,25-Mar,Sad gay aliens book resurging in emo BookTok,Series Momentum,"YA Sci-Fi, Queer Lit",No,Simon Pulse,2016,464,Film,,A boy can stop the end of the world — if he wants to,,Uncategorized,,Science Fiction,,Queer Lit,,Queer Lit
Mexican Gothic,Silvia Moreno-Garcia,BookTok,Toni,25-Apr,Gothic horror classic regains momentum,Other / Uncategorized,"Horror, Magical Realism, Feminist Lit",No,Del Rey,2020,320,Not Yet Considered,Latinx,"Body horror, racism","A 1950s Mexican socialite faces ghosts, mold, and madness","Racism / Discrimination, Sexual Content / Explicit Scenes",Latinx,Fantasy,,Feminist Lit,,Feminist Lit
The Moth Keeper,K. O’Neill,BookTok,Toni,25-Apr,Soft fantasy GN with sapphic vibes resurging,Viral Momentum,"Graphic Novel, Fantasy, Coming of Age",No,Random House,2023,272,Not Yet Considered,,A quiet girl guards the night moths that protect her desert village,,Uncategorized,,Fantasy,,,Graphic Novel,Graphic Novel
The Sunbearer Trials,Aiden Thomas,BookTok,Toni,25-Apr,Queer demi-god Latinx Hunger Games vibes trending,Queer / Identity-Based Discovery,"YA Fantasy, Myth-Inspired",Yes,Feiwel & Friends,2022,416,Not Yet Considered,,Trans teen competes in trials to save the world,,Sexual Violence / SA,,Fantasy,,,,
Shadowshaper,Daniel José Older,BookTok,Toni,25-Apr,Brooklyn street art + ancestral magic resurging,Viral Momentum,"YA Urban Fantasy, AfroLatinx Folklore",Yes,Arthur A. Levine,2015,304,Not Yet Considered,,A girl learns she’s part of a secret spiritual order,,Uncategorized,,Fantasy,,,,
The Book Eaters,Sunyi Dean,BookTok,Toni,25-Apr,Alt dark fantasy w/ viral “eats books not food” concept,Series Momentum,"Dark Fantasy, Gothic Alt Lit",No,Tor,2022,304,Not Yet Considered,,A mother rebels against her cult to save her queer son,,"Religious Trauma / Cults, Sexual Violence / SA",,Fantasy,,,,
Babel,R. F. Kuang,BookTok,Toni,25-Apr,Dark academia + linguistic magic remains viral,Other / Uncategorized,"Historical Fantasy, Alt-History",No,Harper Voyager,2022,560,TV,,Language is power — and its cost is blood,,Uncategorized,,Fantasy,,,,
Stargazing,Jen Wang,BookTok,Toni,25-Apr,Alt GN about girlhood + neurodivergence resurging,Viral Momentum,"Graphic Novel, Contemporary",No,First Second,2019,224,Film,Illness,A quiet girl befriends a chaotic girl with a brain condition,,Disability / Neurodivergence,Disability / Illness,Contemporary Fiction,,,Graphic Novel,Graphic Novel
The Ghosts of Rose Hill,R.M. Romero,BookTok,Toni,25-Apr,"Bilingual verse novel about ghosts, love, identity",Queer / Identity-Based Discovery,"Magical Realism, Verse, Queer Lit",No,Peachtree Teen,2022,400,Not Yet Considered,,A violinist finds a boy’s ghost — and her purpose — in Prague,,Supernatural Horror,,Fantasy,,Queer Lit,Verse,"Queer Lit, Verse"
The Magic Fish,Trung Le Nguyen,BookTok,Toni,25-Apr,Visual language & queer fairy tales still resonating,Queer / Identity-Based Discovery,"Graphic Novel, Coming of Age",No,Random House,2020,256,Film,,A son comes out through stories he can’t say aloud,,Sexual Violence / SA,,Graphic Works,,,Graphic Novel,Graphic Novel
The Strange Tales of Oscar Zahn,Tri Vuong,BookTok,Toni,25-Apr,Alt-quirky GN trending in zinecore and soft horror,Viral Momentum,"Graphic Novel, Supernatural Mystery",Yes,Webtoon/Indie,2024,200+,Not Yet Considered,,A skull-headed spirit detective solves grief-shaped mysteries,,Death / Grief,,Mystery / Thriller,,,Graphic Novel,Graphic Novel
Undrowned: Black Feminist Lessons from Marine Mammals,Alexis Pauline Gumbs,BookTok,Toni,25-Apr,Experimental queer nonfiction resurging in indie circles,Indie Author Buzz,"Essay/Poetry, Speculative Nonfiction",No,AK Press,2020,180,Not Yet Considered,"Existential,Poetic","Lessons from whales, dolphins, and survival",,Uncategorized,Uncategorized,Speculative Fiction,,,,
Camp Spirit,Axelle Lenoir,BookTok,Toni,25-Apr,Soft horror + queer awakening GN resurging,Queer / Identity-Based Discovery,"Graphic Novel, Horror-Comedy",No,Top Shelf,2020,244,Film,,A camp counselor with a bad attitude uncovers weird truths,,Uncategorized,,Horror,,,Graphic Novel,Graphic Novel
Bruja Born,Zoraida Córdova,BookTok,Toni,25-Apr,Brooklyn bruja sisters still hot on TikTok,Viral Momentum,"YA Urban Fantasy, Latinx Witch Lit",Yes,Sourcebooks,2018,336,Not Yet Considered,,A bruja accidentally raises the dead,,Uncategorized,,Fantasy,,,,
"Everything Is Beautiful, and I'm Not Afraid",Yao Xiao,BookTok,Toni,25-Apr,Tender alt memoir in comic form resurging,Viral Momentum,"Graphic Memoir, Queer",No,Andrews McMeel,2020,144,Not Yet Considered,,"A Chinese queer artist reflects on love, belonging, and names",,Uncategorized,,Graphic Works,,,Memoir,Memoir
Deep Dark Fears,Fran Krause,BookTok,Toni,25-Apr,Dreamy horror microcomic trending again,Viral Momentum,"Graphic Novel, Horror Humor",Yes,Ten Speed,2015,160,Film,,"Readers’ most irrational fears, drawn like bedtime stories",,Uncategorized,,Horror,,,Graphic Novel,Graphic Novel
We Are the Crisis,Cadwell Turnbull,BookTok,Toni,25-May,Sequel to viral alt-sci-fi with themes of revolution,Series Momentum,"Afrofuturism, Sci-Fi",Yes,Blackstone,2023,416,Film,,Secret gods live among us — and fight for liberation,,Violence,,Science Fiction,,,,
